AFN,Afganistán,Afghani afgano,؋
XAF,África Central,Franco CFA de África Central,FCFA
XOF,África Occidental,Franco CFA de África Occidental,CFA
ALL,Albania,Lek albanés,L
DEM,Alemania,Marco alemán,DEM
AOA,Angola,Kwanza angoleño,Kz
ANG,Antillas Neerlandesas,Florín de las Antillas Neerlandesas,ƒ
SAR,Arabia Saudita,Riyal saudí,﷼
DZD,Argelia,Dinar argelino,دج
ARS,Argentina,Peso argentino,$
AMD,Armenia,Dram armenio,դր
AWG,Aruba,Florín de Aruba,ƒ
AUD,Australia,Dólar australiano,$
ATS,Austria,Chelín austriaco,ÖS
AZN,Azerbaiyán,Manat azerí,ман
BSD,Bahamas,Dólar bahameño,$
BDT,Bangladés,Taka bangladesí,৳
BBD,Barbados,Dólar de Barbados,$
BHD,Baréin,Dinar bahreiní,.د.ب
BEF,Bélgica,Franco belga,BEF
BZD,Belice,Dólar beliceño,BZ$
BMD,Bermudas,Dólar bermudeño,$
BYN,Bielorrusia,Rublo bielorruso,Br
BYR,Bielorrusia,Rublo bielorruso,p.
BTC,Bitcoin,Bitcoin,฿
BOB,Bolivia,Boliviano,$b
BAM,Bosnia y Herzegovina,Marco convertible de Bosnia y Herzegovina,KM
BWP,Botsuana,Pula botsuano,P
BRL,Brasil,Real brasileño,R$
BND,Brunéi,Dólar de Brunéi,$
BGN,Bulgaria,Lev búlgaro,лв
BIF,Burundi,Franco de Burundi,FBu
BTN,Bután,Ngultrum butanés,Nu.
CVE,Cabo Verde,Escudo caboverdiano,$
KHR,Camboya,Riel camboyano,៛
CAD,Canadá,Dólar canadiense,$
XCD,Caribe Oriental,Dólar del Caribe Oriental,$
QAR,Catar,Riyal catarí,﷼
CLF,Chile,Unidad de Fomento chilena,UF
CLP,Chile,Peso chileno,$
CNH,China,Yuan chino (offshore),CNH
CNY,China,Yuan chino,¥
CYP,Chipre,Libra chipriota,£
VAL,Ciudad del Vaticano,Lira vaticana,VAL
COP,Colombia,Peso colombiano,$
KMF,Comoras,Franco comorense,CF
KPW,Corea del Norte,Won norcoreano,₩
KRW,Corea del Sur,Won surcoreano,₩
CRC,Costa Rica,Colón costarricense,₡
HRK,Croacia,Kuna croata,kn
CUC,Cuba,Peso cubano convertible,CUC
CUP,Cuba,Peso cubano,₱
DKK,Dinamarca,Corona danesa,kr
EGP,Egipto,Libra egipcia,£
SVC,El Salvador,Colón salvadoreño,C$
AED,Emiratos Árabes Unidos,Dirham de los Emiratos Árabes Unidos,د.إ
ERN,Eritrea,Nakfa eritreo,Nkf
SKK,Eslovaquia,Corona eslovaca,SKK
SIT,Eslovenia,Tólar esloveno,SIT
ESP,España,Peseta española,ESP
USD,Estados Unidos,Dólar estadounidense,$
EEK,Estonia,Corona estonia,kr
ETB,Etiopía,Birr etíope,Br
PHP,Filipinas,Peso filipino,₱
FIM,Finlandia,Marca finlandesa,FIM
FJD,Fiyi,Dólar fiyiano,$
XDR,Fondo Monetario Internacional,Derechos especiales de giro,XDR
FRF,Francia,Franco francés,FRF
GMD,Gambia,Dalasi gambiano,D
GEL,Georgia,Lari georgiano,ლ
GHS,Ghana,Cedi ghanés,₵
GIP,Gibraltar,Libra de Gibraltar,£
GRD,Grecia,Dracma griega,GRD
GTQ,Guatemala,Quetzal guatemalteco,Q
GGP,Guernsey,Libra de Guernsey,£
GNF,Guinea,Franco guineano,FG
GYD,Guyana,Dólar guyanés,$
HTG,Haití,Gourde haitiano,G
HNL,Honduras,Lempira hondureño,L
HKD,Hong Kong,Dólar de Hong Kong,$
HUF,Hungría,Forinto húngaro,Ft
INR,India,Rupia india,₹
IDR,Indonesia,Rupia indonesia,Rp
CPI,Internacional,CriptoPeso,CPI
XAG,Internacional,Plata Troy,XAG
XAU,Internacional,Oro Troy,XAU
XCP,Internacional,Precio de las criptomonedas,XCP
XPD,Internacional,Paladio Troy,XPD
XPT,Internacional,Platino Troy,XPT
IQD,Irak,Dinar iraquí,ع.د
IRR,Irán,Rial iraní,﷼
IEP,Irlanda,Libra irlandesa,IEP
IMP,Isla de Man,Libra manesa,£
ISK,Islandia,Corona islandesa,kr
KYD,Islas Caimán,Dólar caimanés,$
FKP,Islas Malvinas,Libra malvinense,£
SBD,Islas Salomón,Dólar de las Islas Salomón,$
ILS,Israel,Shekel israelí,₪
ITL,Italia,Lira italiana,ITL
JMD,Jamaica,Dólar jamaiquino,J$
